decision,parameter,ekfc_class,direction,baseline_choice,flips_to,required_factor,required_change_pct,in_published_standard_errors,vs_between_study_sd,verdict,assay_cv_pct
A: regimen choice,cl0_caz,0–30,down,R2,R1,0.62,-38.0,7.5,1.13,,
A: regimen choice,cl0_caz,0–30,up,R2,,,,,,no change across the whole scanned range,
A: regimen choice,cl0_caz,31–60,down,R8,R7,0.76,-24.0,4.3,0.65,,
A: regimen choice,cl0_caz,31–60,up,R8,,,,,,no change across the whole scanned range,
A: regimen choice,cl0_caz,61–90,down,R10,R9,0.71,-29.0,5.4,0.81,,
A: regimen choice,cl0_caz,61–90,up,R10,,,,,,no change across the whole scanned range,
A: regimen choice,cl0_caz,91–120,down,R12,R11,0.78,-22.0,3.9,0.59,,
A: regimen choice,cl0_caz,91–120,up,R12,,,,,,no change across the whole scanned range,
A: regimen choice,cl0_caz,121–150,down,R13,,,,,,no change across the whole scanned range,
A: regimen choice,cl0_caz,121–150,up,R13,,,,,,no change across the whole scanned range,
A: regimen choice,cl0_avi,0–30,down,R2,R1,0.55,-45.0,8.1,1.41,,
A: regimen choice,cl0_avi,0–30,up,R2,,,,,,no change across the whole scanned range,
A: regimen choice,cl0_avi,31–60,down,R8,R7,0.71,-29.0,4.6,0.81,,
A: regimen choice,cl0_avi,31–60,up,R8,,,,,,no change across the whole scanned range,
A: regimen choice,cl0_avi,61–90,down,R10,R9,0.63,-37.0,6.2,1.09,,
A: regimen choice,cl0_avi,61–90,up,R10,,,,,,no change across the whole scanned range,
A: regimen choice,cl0_avi,91–120,down,R12,R11,0.78,-22.0,3.4,0.59,,
A: regimen choice,cl0_avi,91–120,up,R12,,,,,,no change across the whole scanned range,
A: regimen choice,cl0_avi,121–150,down,R13,,,,,,no change across the whole scanned range,
A: regimen choice,cl0_avi,121–150,up,R13,,,,,,no change across the whole scanned range,
A: regimen choice,exp_caz,0–30,down,R2,,,,,,no change across the whole scanned range,
A: regimen choice,exp_caz,0–30,up,R2,R1,1.66,66.0,3.6,,,
A: regimen choice,exp_caz,31–60,down,R8,,,,,,no change across the whole scanned range,
A: regimen choice,exp_caz,31–60,up,R8,R7,1.81,81.0,4.2,,,
A: regimen choice,exp_caz,61–90,down,R10,,,,,,no change across the whole scanned range,
A: regimen choice,exp_caz,61–90,up,R10,,,,,,no change across the whole scanned range,
A: regimen choice,exp_caz,91–120,down,R12,,,,,,no change across the whole scanned range,
A: regimen choice,exp_caz,91–120,up,R12,,,,,,no change across the whole scanned range,
A: regimen choice,exp_caz,121–150,down,R13,,,,,,no change across the whole scanned range,
A: regimen choice,exp_caz,121–150,up,R13,,,,,,no change across the whole scanned range,
A: regimen choice,exp_avi,0–30,down,R2,,,,,,no change across the whole scanned range,
A: regimen choice,exp_avi,0–30,up,R2,R1,1.54,54.0,3.5,,,
A: regimen choice,exp_avi,31–60,down,R8,,,,,,no change across the whole scanned range,
A: regimen choice,exp_avi,31–60,up,R8,R7,1.96,96.0,5.5,,,
A: regimen choice,exp_avi,61–90,down,R10,,,,,,no change across the whole scanned range,
A: regimen choice,exp_avi,61–90,up,R10,,,,,,no change across the whole scanned range,
A: regimen choice,exp_avi,91–120,down,R12,R11,0.32,-68.0,9.3,,,
A: regimen choice,exp_avi,91–120,up,R12,,,,,,no change across the whole scanned range,
A: regimen choice,exp_avi,121–150,down,R13,,,,,,no change across the whole scanned range,
A: regimen choice,exp_avi,121–150,up,R13,,,,,,no change across the whole scanned range,
A: regimen choice,omega_caz,0–30,down,R2,,,,,,no change across the whole scanned range,
A: regimen choice,omega_caz,0–30,up,R2,,,,,,no change across the whole scanned range,
A: regimen choice,omega_caz,31–60,down,R8,,,,,,no change across the whole scanned range,
A: regimen choice,omega_caz,31–60,up,R8,,,,,,no change across the whole scanned range,
A: regimen choice,omega_caz,61–90,down,R10,,,,,,no change across the whole scanned range,
A: regimen choice,omega_caz,61–90,up,R10,,,,,,no change across the whole scanned range,
A: regimen choice,omega_caz,91–120,down,R12,,,,,,no change across the whole scanned range,
A: regimen choice,omega_caz,91–120,up,R12,,,,,,no change across the whole scanned range,
A: regimen choice,omega_caz,121–150,down,R13,,,,,,no change across the whole scanned range,
A: regimen choice,omega_caz,121–150,up,R13,,,,,,no change across the whole scanned range,
A: regimen choice,omega_avi,0–30,down,R2,,,,,,no change across the whole scanned range,
A: regimen choice,omega_avi,0–30,up,R2,R1,3.21,221.0,3.9,,,
A: regimen choice,omega_avi,31–60,down,R8,R7,0.52,-48.0,2.2,,,
A: regimen choice,omega_avi,31–60,up,R8,R7,2.71,171.0,3.3,,,
A: regimen choice,omega_avi,61–90,down,R10,R9,0.39,-61.0,3.1,,,
A: regimen choice,omega_avi,61–90,up,R10,R9,2.99,199.0,3.6,,,
A: regimen choice,omega_avi,91–120,down,R12,R11,0.55,-45.0,2.0,,,
A: regimen choice,omega_avi,91–120,up,R12,R11,2.25,125.0,2.7,,,
A: regimen choice,omega_avi,121–150,down,R13,,,,,,no change across the whole scanned range,
A: regimen choice,omega_avi,121–150,up,R13,,,,,,no change across the whole scanned range,
A: regimen choice,rho,0–30,down,R2,,,,,,no change across the whole scanned range,
A: regimen choice,rho,0–30,up,R2,,,,,,no change across the whole scanned range,
A: regimen choice,rho,31–60,down,R8,,,,,,no change across the whole scanned range,
A: regimen choice,rho,31–60,up,R8,,,,,,no change across the whole scanned range,
A: regimen choice,rho,61–90,down,R10,,,,,,no change across the whole scanned range,
A: regimen choice,rho,61–90,up,R10,,,,,,no change across the whole scanned range,
A: regimen choice,rho,91–120,down,R12,,,,,,no change across the whole scanned range,
A: regimen choice,rho,91–120,up,R12,,,,,,no change across the whole scanned range,
A: regimen choice,rho,121–150,down,R13,,,,,,no change across the whole scanned range,
A: regimen choice,rho,121–150,up,R13,,,,,,no change across the whole scanned range,
A: regimen choice,fu_caz,0–30,down,R2,,,,,,no change across the whole scanned range,
A: regimen choice,fu_caz,0–30,up,R2,,,,,,no change across the whole scanned range,
A: regimen choice,fu_caz,31–60,down,R8,,,,,,no change across the whole scanned range,
A: regimen choice,fu_caz,31–60,up,R8,,,,,,no change across the whole scanned range,
A: regimen choice,fu_caz,61–90,down,R10,,,,,,no change across the whole scanned range,
A: regimen choice,fu_caz,61–90,up,R10,,,,,,no change across the whole scanned range,
A: regimen choice,fu_caz,91–120,down,R12,,,,,,no change across the whole scanned range,
A: regimen choice,fu_caz,91–120,up,R12,,,,,,no change across the whole scanned range,
A: regimen choice,fu_caz,121–150,down,R13,,,,,,no change across the whole scanned range,
A: regimen choice,fu_caz,121–150,up,R13,,,,,,no change across the whole scanned range,
A: regimen choice,fu_avi,0–30,down,R2,,,,,,no change across the whole scanned range,
A: regimen choice,fu_avi,0–30,up,R2,R1,1.8,80.0,,,,
A: regimen choice,fu_avi,31–60,down,R8,,,,,,no change across the whole scanned range,
A: regimen choice,fu_avi,31–60,up,R8,R7,1.4,40.0,,,,
A: regimen choice,fu_avi,61–90,down,R10,,,,,,no change across the whole scanned range,
A: regimen choice,fu_avi,61–90,up,R10,R9,1.58,58.0,,,,
A: regimen choice,fu_avi,91–120,down,R12,,,,,,no change across the whole scanned range,
A: regimen choice,fu_avi,91–120,up,R12,R11,1.29,29.0,,,,
A: regimen choice,fu_avi,121–150,down,R13,,,,,,no change across the whole scanned range,
A: regimen choice,fu_avi,121–150,up,R13,,,,,,no change across the whole scanned range,
A: regimen choice,avi_target,0–30,down,R2,R1,0.55,-45.0,,,,
A: regimen choice,avi_target,0–30,up,R2,,,,,,no change across the whole scanned range,
A: regimen choice,avi_target,31–60,down,R8,R7,0.71,-29.0,,,,
A: regimen choice,avi_target,31–60,up,R8,,,,,,no change across the whole scanned range,
A: regimen choice,avi_target,61–90,down,R10,R9,0.63,-37.0,,,,
A: regimen choice,avi_target,61–90,up,R10,,,,,,no change across the whole scanned range,
A: regimen choice,avi_target,91–120,down,R12,R11,0.78,-22.0,,,,
A: regimen choice,avi_target,91–120,up,R12,,,,,,no change across the whole scanned range,
A: regimen choice,avi_target,121–150,down,R13,,,,,,no change across the whole scanned range,
A: regimen choice,avi_target,121–150,up,R13,,,,,,no change across the whole scanned range,
A: regimen choice,tox_threshold,0–30,down,R2,R1,0.6,-40.0,,,,
A: regimen choice,tox_threshold,0–30,up,R2,,,,,,no change across the whole scanned range,
A: regimen choice,tox_threshold,31–60,down,R8,R7,0.76,-24.0,,,,
A: regimen choice,tox_threshold,31–60,up,R8,,,,,,no change across the whole scanned range,
A: regimen choice,tox_threshold,61–90,down,R10,R9,0.71,-29.0,,,,
A: regimen choice,tox_threshold,61–90,up,R10,,,,,,no change across the whole scanned range,
A: regimen choice,tox_threshold,91–120,down,R12,R11,0.78,-22.0,,,,
A: regimen choice,tox_threshold,91–120,up,R12,,,,,,no change across the whole scanned range,
A: regimen choice,tox_threshold,121–150,down,R13,,,,,,no change across the whole scanned range,
A: regimen choice,tox_threshold,121–150,up,R13,,,,,,no change across the whole scanned range,
B: measure or infer,rho,all (selected regimens),up,measure avibactam,,,,,,measuring wins across the entire plausible range,0
B: measure or infer,rho,all (selected regimens),up,measure avibactam,,,,,,measuring wins across the entire plausible range,10
B: measure or infer,rho,all (selected regimens),up,measure avibactam,,,,,,measuring wins across the entire plausible range,20
B: measure or infer,rho,all (selected regimens),up,measure avibactam,,,,,,measuring wins across the entire plausible range,30
